Кандзи,Кана,Перевод,Уровень
,ああ,ах、ой、да,5
会う,あう,встречаться、видеться,5
青・青い,あお・あおい,синий цвет、синий、голубой、зеленый、бледный,5
赤・赤い,あか・あかい,красный цвет、красный,5
明るい,あかるい,светлый、радостный、счастливый、честный,5
秋,あき,осень,5
開く,あく,открываться、раскрываться、освобождаться、быть свободным,5
開ける,あける,открывать,5
上げる,あげる,дарить、давать,5
朝,あさ,утро,5
朝御飯,あさごはん,завтрак,5
明後日,あさって,послезавтра,5
足,あし,нога、лапа,5
明日,あした,завтра,5
,あそこ,там (далеко),5
遊ぶ,あそぶ,играть、развлекаться,5
暖かい,あたたかい,теплый,5
頭,あたま,голова,5
新しい,あたらしい,новый,5
,あちら,там、та сторона (далеко),5
厚い,あつい,толстый (о плоских предметах)、теплый、сердечный,5
暑い,あつい,жаркий,5
熱い,あつい,горячий (при касании),5
後,あと,после、позади,5
,あなた,Вы,5
兄,あに,старший брат,5
姉,あね,старшая сестра,5
,あの…,мм…、послушайте,5
,あの,тот…,5
,アパート,квартира、апартаменты,5
浴びる,あびる,обливаться、принимать (ванну),5
危ない,あぶない,опасный、рискованный,5
甘い,あまい,сладкий,5
,あまり,не очень (с отрицанием),5
雨,あめ,дождь,5
飴,あめ,леденец,5
洗う,あらう,мыть、стирать、смывать,5
,ある,быть、находиться (для неодушевленных),5
歩く,あるく,идти、ходить пешком,5
,あれ,то (далеко),5
良い,いい・よい,хороший、подходящий,5
,いいえ,нет,5
,どういたしまして,не за что (на спасибо),5
言う,いう,говорить、сказать、сообщать、рассказывать,5
家,いえ,дом,5
,いかが,как насчет… (кофе、чая),5
行く,いく・ゆく,идти、ехать、направляться,5
,いくつ,сколько? сколько лет?,5
,いくら,сколько стоит?,5
池,いけ,пруд,5
医者,いしゃ,врач、доктор,5
椅子,いす,стул,5
忙しい,いそがしい,занятый,5
痛い,いたい,больно,5
,いただきます,приятного аппетита、отведаю (говорится перед едой),5
一,いち,один,5
一々,いちいち,по одному,5
一日,いちにち,один день、целый день,5
一番,いちばん,самый、лучший,5
何時,いつ,когда,5
五日,いつか,пятое число、пять дней,5
一緒,いっしょ,вместе,5
一体,いったい,одно целое,5
五つ,いつつ,пять,5
,いつも,всегда,5
今,いま,сейчас,5
意味,いみ,смысл、значение,5
妹,いもうと,младшая сестра,5
嫌,いや,неприятный、противный,5
,いらっしゃいませ,добро пожаловать!,5
入口,いりぐち,вход,5
居る,いる,быть、существовать (об одушевлённых),5
要る,いる,требоваться、нуждаться,5
入れる,いれる,вкладывать、вставлять,5
色,いろ,цвет,5
色々,いろいろ,различный,5
岩,いわ,скала,5
上,うえ,верх、верхняя часть,5
後ろ,うしろ,позади、сзади,5
薄い,うすい,тонкий、бледный (о цвете),5
歌,うた,песня,5
歌う,うたう,петь,5
家,うち,дом,5
生まれる,うまれる,родиться,5
海,うみ,море,5
売る,うる,продавать,5
上着,うわぎ,пиджак、верхняя одежда,5
絵,え,картина、рисунок、иллюстрация,5
映画,えいが,кино、фильм,5
映画館,えいがかん,кинотеатр,5
英語,えいご,английский язык,5
,ええ,да,5
駅,えき,станция,5
,エレベーター,лифт,5
円,えん,иена、круг,5
鉛筆,えんぴつ,карандаш,5
御〜,お〜・ご〜,вежливый префикс,5
美味しい,おいしい,вкусный,5
大きい・大きな,おおきい・おおきな,большой,5
大勢,おおぜい,много народа、толпа,5
お母さん,おかあさん,(вежл.) мама,5
お菓子,おかし,сладости,5
お金,おかね,деньги,5
起きる,おきる,просыпаться,5
置く,おく,класть、ставить,5
奥さん,おくさん,(вежл.) жена、супруга、замужняя женщина,5
送る,おくる,посылать、отправлять、провожать,5
お酒,おさけ,сакэ、спиртные напитки,5
お皿,おさら,тарелка、блюдо,5
叔父さん・伯父さん・小父さん,おじさん,дядя,5
お爺さん・お祖父さん,おじいさん,дедушка,5
教える,おしえる,преподавать、учить、объяснять,5
押す,おす,толкать、нажимать、давить,5
遅い,おそい,поздний、медленный,5
お茶,おちゃ,зеленый чай,5
お手洗い,おてあらい,туалет、уборная,5
お父さん,おとうさん,(вежл.) отец,5
弟,おとうと,младший брат,5
男,おとこ,мужчина,5
男の子,おとこのこ,мальчик,5
一昨日,おととい・いっさくじつ,позавчера,5
一昨年,おととし・いっさくねん,позапрошлый год,5
大人,おとな,взрослый,5
お腹,おなか,живот、желудок,5
同じ,おなじ,одинаковый、такой же、тот же,5
お兄さん,おにいさん,(вежл.) старший брат,5
お姉さん,おねえさん,(вежл.) старшая сестра,5
,おねがいします,пожалуйста,5
叔母さん・伯母さん,おばさん,тетя,5
お祖母さん・お婆さん,おばあさん,бабушка,5
,おはようございます,Доброе утро!,5
お弁当,おべんとう,обед в коробке,5
覚える,おぼえる,запоминать,5
,おまわりさん,(дружелюбно) полицейский,5
重い,おもい,тяжелый,5
面白い,おもしろい,интересный、забавный,5
,おやすみなさい,спокойной ночи,5
泳ぐ,およぐ,плавать,5
降りる,おりる,спускаться、высаживаться из транспорта,5
終わる,おわる,заканчивать,5
音楽,おんがく,музыка,5
女,おんな,женщина,5
女の子,おんなのこ,девочка,5
〜回,かい,сч. суф. кол-ва раз,5
〜階,かい,…этаж,5
外国,がいこく,заграница、иностранное государство,5
外国人,がいこくじん,иностранец,5
会社,かいしゃ,фирма、компания,5
階段,かいだん,лестница,5
買い物,かいもの,покупка,5
買う,かう,покупать,5
返す,かえす,возвращать、отдавать обратно,5
帰る,かえる,возвращаться、уходить (домой、обратно),5
顔,かお,лицо,5
掛かる,かかる,висеть на чем-то、требоваться (о деньгах、времени)、стоить,5
鍵,かぎ,ключ,5
書く,かく,писать,5
学生,がくせい,студент,5
〜ヶ月,かげつ,…месяца(ев),5
掛ける,かける,вешать на что-л.、звонить по телефону,5
傘,かさ,зонт,5
貸す,かす,одалживать、давать взаймы,5
風邪,かぜ,простуда、грипп,5
風,かぜ,ветер,5
家族,かぞく,семья,5
方,かた,человек、вежливо лицо,5
片仮名,かたかな,катакана,5
〜月,がつ,название месяца,5
学校,がっこう,школа,5
,カップ,чашка,5
家庭,かてい,домашнее хозяйство,5
角,かど,внешний угол,5
家内,かない,моя жена,5
鞄,かばん,чемодан、портфель,5
花瓶,かびん,ваза для цветов,5
被る,かぶる,надевать на голову、быть облитым、брать на себя (вину),5
紙,かみ,бумага,5
,カメラ,фотоаппарат,5
火曜日,かようび,вторник,5
辛い,からい,острый、горький、крепкий,5
体,からだ,тело、здоровье,5
借りる,かりる,брать взаймы,5
軽い,かるい,легкий,5
,カレー,кари,5
,カレンダー,календарь,5
川・河,かわ,река,5
〜側,がわ,сторона,5
可愛い,かわいい,милый、хорошенький,5
漢字,かんじ,иероглиф,5
木,き,дерево,5
黄色・黄色い,きいろ・きいろい,желтый цвет、желтый,5
消える,きえる,гаснуть、исчезать、таять,5
聞く,きく,слышать、слушать、спрашивать,5
北,きた,север,5
,ギター,гитара,5
汚い,きたない,грязный、запачканный、подлый,5
喫茶店,きっさてん,кафе,5
切手,きって,почтовая марка,5
切符,きっぷ,билет、талон,5
昨日,きのう,вчера,5
九,きゅう,девять,5
牛肉,ぎゅうにく,говядина,5
牛乳,ぎゅうにゅう,молоко,5
今日,きょう,сегодня,5
教室,きょうしつ,класс、аудитория,5
兄弟,きょうだい,братья и сестры,5
去年,きょねん,прошлый год,5
嫌い,きらい,нелюбовь、антипатия、нелюбимый,5
切る,きる,резать、прерывать,5
着る,きる,надевать одежду,5
,きれい,красивый、чистый,5
,キロ・キログラム,килограмм,5
,キロ・キロメートル,километр,5
銀行,ぎんこう,банк,5
金曜日,きんようび,пятница,5
九,く,девять,5
薬,くすり,лекарство,5
下さい,ください,пожалуйста,5
果物,くだもの,фрукты,5
口,くち,рот、губы,5
靴,くつ,обувь、ботинки,5
靴下,くつした,носки,5
国,くに,страна、государство,5
曇る,くもる,становиться пасмурным,5
暗い,くらい,темный、мрачный、несведущий,5
〜位,くらい・ぐらい,приблизительно…,5
,クラス,класс,5
来る,くる,приходить,5
車,くるま,автомобиль、телега、вагон,5
黒・黒い,くろ・くろい,черный цвет、черный,5
警官,けいかん,полицейский,5
今朝,けさ,сегодня утром,5
消す,けす,тушить、гасить、выключать、стирать,5
結構,けっこう,прекрасный、великолепный、достаточно,5
結婚,けっこん,брак、женитьба、замужество,5
月曜日,げつようび,понедельник,5
玄関,げんかん,прихожая、передняя、холл,5
元気,げんき,бодрость、хорошее настроение、здоровье,5
〜個,こ,…штук (для мелких предметов),5
〜語,ご,…язык (название языка),5
五,ご,пять,5
公園,こうえん,общедоступный парк,5
交差点,こうさてん,перекресток,5
紅茶,こうちゃ,черный чай,5
交番,こうばん,полицейский пост,5
声,こえ,голос,5
,コート,пальто,5
,コーヒー,кофе,5
,ここ,здесь (рядом с говорящим),5
午後,ごご,вторая половина дня、после полудня,5
九日,ここのか,девятое число、девять дней,5
九つ,ここのつ,девять,5
御主人,ごしゅじん,хозяин、господин,5
午前,ごぜん,до полудня、первая половина дня,5
答える,こたえる,отвечать,5
,ごちそうさまでした,спасибо за угощение,5
,こちら,это лицо、этот путь (рядом с говорящим),5
,こっち,этот путь、сюда (рядом с говорящим),5
,こちらこそ,мне тоже приятно,5
,コップ,стакан、бокал,5
今年,ことし,этот год,5
言葉,ことば,слово、слова、язык、речь,5
子供,こども,ребенок、дети,5
,この,этот… (рядом с говорящим),5
御飯,ごはん,вареный рис、еда,5
困る,こまる,быть в затруднении,5
,コピーする,копировать,5
,ごめんください,извините、можно войти?,5
,ごめんなさい,извините,5
,これ,это (рядом с говорящим),5
〜頃,ころ・ごろ,примерно в… (время),5
今月,こんげつ,этот месяц,5
今週,こんしゅう,эта неделя,5
,こんな,такой、подобный,5
今日は,こんにちは,добрый день!,5
今晩,こんばん,этот вечер、сегодня вечером,5
今晩は,こんばんは,добрый вечер!,5
,さあ,ну、ну-ка、ну-вот,5
〜歳,さい,…лет (возраст),5
財布,さいふ,кошелек,5
魚,さかな,рыба,5
先,さき,впереди、дальше、острие、кончик,5
咲く,さく,цвести、расцветать,5
作文,さくぶん,сочинение,5
差す,さす,раскрывать над собой зонтик、протягивать руку,5
〜冊,さつ,сч. суф. для книг,5
雑誌,ざっし,журнал,5
砂糖,さとう,сахар,5
寒い,さむい,холодный,5
,さよなら・さようなら,до свидания (надолго),5
再来年,さらいねん,через год,5
,〜さん,господин…、госпожа… (при обращении),5
三,さん,три,5
散歩,さんぽ,прогулка,5
四,し,четыре,5
〜時,じ,…час,5
塩,しお,соль,5
然し,しかし,но、однако,5
時間,じかん,время,5
〜時間,じかん,…часов,5
仕事,しごと,работа、занятие,5
辞書,じしょ,словарь,5
静か,しずか,тихий、спокойный,5
下,した,низ、снизу,5
七,しち・なな,семь,5
質問,しつもん,вопрос,5
失礼しました,しつれいしました,извините за грубость,5
失礼します,しつれいします,извините (перед обращением、уходом、прежде чем войти),5
自転車,じてんしゃ,велосипед,5
自動車,じどうしゃ,автомобиль,5
死ぬ,しぬ,умирать,5
字引,じびき,словарь,5
自分,じぶん,сам,5
閉まる,しまる,быть закрытым,5
締める,しめる,завязывать、затягивать、экономить,5
閉める,しめる,закрывать、запирать,5
,じゃ・じゃあ,ну тогда、в таком случае,5
写真,しゃしん,фотография,5
,シャツ,мужская рубашка,5
,シャワー,душ,5
十,じゅう,десять,5
〜週間,しゅうかん,…недель,5
授業,じゅぎょう,урок、занятие,5
宿題,しゅくだい,домашнее задание,5
上手,じょうず,умелый、искусный,5
丈夫,じょうぶ,здоровый、крепкий、прочный,5
醤油,しょうゆ,соевый соус,5
食堂,しょくどう,столовая,5
知る,しる,знать,5
白・白い,しろ・しろい,белый цвет、белый,5
〜人,じん,суф. национальности,5
新聞,しんぶん,газета,5
水曜日,すいようび,среда,5
吸う,すう,вдыхать、втягивать、сосать,5
,スカート,юбка,5
好き,すき,любимый、нравящийся,5
〜過ぎ,すぎ,после…、сверх…,5
直ぐに,すぐに,сразу、немедленно、скоро,5
少し,すこし,немного、немножко,5
涼しい,すずしい,прохладный、освежающий,5
〜ずつ,ずつ,по… (после числ.),5
,ストーブ,металлическая печка,5
,スプーン,ложка,5
,スポーツ,спорт,5
,ズボン,брюки,5
,すみません,извините、прошу прощения、виноват,5
住む,すむ,жить、проживать,5
,スリッパ,тапочки,5
,する,делать,5
座る,すわる,сидеть、садиться,5
背,せ・せい,рост,5
生徒,せいと,ученик,5
,セーター,свитер,5
石鹸,せっけん,мыло,5
背広,せびろ,мужской костюм,5
狭い,せまい,узкий、тесный,5
,ゼロ,ноль,5
千,せん,тысяча,5
先月,せんげつ,прошлый месяц,5
先週,せんしゅう,прошлая неделя,5
先生,せんせい,учитель,5
洗濯,せんたく,стирка,5
全部,ぜんぶ,все、целиком,5
掃除,そうじ,уборка,5
,そうして・そして,и…、так же…,5
,そこ,там (рядом собеседником),5
,そちら,та сторона、путь (рядом с собеседником),5
,そっち,та сторона、туда,5
外,そと,снаружи,5
,その,этот… (рядом с собеседником),5
側,そば,рядом、возле、поблизости,5
空,そら,небо,5
,それ,это (рядом с собеседником),5
,それから,затем,5
,それでは,в таком случае,5
〜台,だい,сч. суф. для механизмов、подставка,5
大学,だいがく,университет,5
大使館,たいしかん,посольство,5
大丈夫,だいじょうぶ,все в порядке,5
大好き,だいすき,очень люблю,5
大切,たいせつ,важный,5
大抵,たいてい,большей частью、обычно,5
台所,だいどころ,кухня,5
,たいへん,очень、ужасно,5
高い,たかい,высокий、дорогой,5
沢山,たくさん,много,5
,タクシー,такси,5
出す,だす,вынимать,5
〜達,たち,суф. мн. числа людей,5
立つ,たつ,стоять、вставать,5
建物,たてもの,здание、строение,5
楽しい,たのしい,приятный,5
頼む,たのむ,просить、поручать,5
煙草,たばこ,сигареты,5
多分,たぶん,наверное、вероятно,5
食べ物,たべもの,еда,5
食べる,たべる,кушать、есть,5
卵,たまご,яйцо,5
誰,だれ,кто,5
誕生日,たんじょうび,день рождения,5
段々,だんだん,постепенно,5
小さい・小さな,ちいさい・ちいさな,маленький,5
近い,ちかい,близкий,5
違う,ちがう,отличаться、нет!,5
近く,ちかく,близко、поблизости,5
地下鉄,ちかてつ,метро,5
地図,ちず,карта,5
父,ちち,отец,5
茶色,ちゃいろ,светло-коричневый цвет,5
茶碗,ちゃわん,чайная чашка (в форме пиалы),5
〜中,ちゅう,в течение…、во время…,5
丁度,ちょうど,как раз、точно、ровно,5
一寸,ちょっと,немного、немножко、чуть-чуть,5
