Кандзи,Значение,On,Kun,Номер,Level
一,один,イチ・イツ,ひと-つ,1,5
二,два,ニ,ふた-つ,2,5
三,три,サン,みっ-つ・み-つ,3,5
四,четыре,シ,よん・よっ-つ・よ-つ,4,5
五,пять,ゴ,いつ-つ,5,5
六,шесть,ロク,むっ-つ・む-つ,6,5
七,семь,シチ,なな-つ,7,5
八,восемь,ハチ,やっ-つ・や-つ,8,5
九,девять,キュウ・ク,ここの-つ,9,5
十,десять,ジュウ・ジッ・ジュッ,とお・と,10,5
百,сто,ヒャク・ビャク,もも,11,5
千,тысяча,セン,ち,12,5
万,десять тысяч,マン・バン,よろず,13,5
人,человек,ジン・ニン,ひと,14,5
見,видеть,ケン,み-る ・み-える ・み-せる,15,5
出,выходить; появляться; вынимать; выдавать,シュツ,で-る・だ-す,16,5
日,день; солнце,ニチ・ジツ,ひ・か,17,5
来,приходить,ライ・タイ,く-る,18,5
子,ребёнок; детёныш,シ・ス,こ,19,5
大,большой,ダイ・タイ,おお-きい,20,5
上,верх,ジョウ,うえ・あ-がる,21,5
分,понимать; минута; доля,ブン・フン・ブ ,わ-かる・わ-ける・わ-かれる,22,5
中,середина; внутри; во время; в течение,チュウ,なか・うち,23,5
行,идти; ходить; уходить; совершать; осуществлять ,コウ・ギョウ,い-く・ゆ-く・おこな-う,24,5
時,время; час,ジ,とき,25,5
何,что?,カ,なに・なん,26,5
生,жизнь; жить; быть живым; рождаться; рождать; приносить; сырой,セイ・ショウ,い-きる・う-まれる・は-やす・う-む・なま,27,5
間,интервал; промежуток; период; комната,カン・ケン,あいだ・ま,28,5
言,сказать,ゲン・ゴン,いう・こと,29,4
手,рука,シュ,て,30,4
女,женщина,ジョ・ニョ・ニョウ,おんな,31,5
気,дух; воздух; пар; атмосфера; чувства; настроение,キ・ケ,き,32,5
本,книга; источник; основа,ホン,もと,33,5
年,год; возраст,ネン,とし,34,5
前,до; впереди,ゼン,まえ,35,5
今,сейчас,コン・キン,いま,36,5
下,низ,カ・ゲ,した・くだ-さる・お-りる・さ-がる・さ-げる,37,5
立,вставать; стоять,リツ,た-つ・た-てる,38,4
小,маленький,ショウ,ちいさい・こ-,39,5
入,входить; вставлять; входить,ニュウ,はい-る・い-る・い-れる,40,5
月,месяц; луна,ゲツ・ガツ,つき,41,5
目,глаз; суффикс порядковых числительных ,モク・ボク,め,42,4
学,учение; знание; наука; изучать ,ガク,まな-ぶ,43,5
書,писать,ショ,か-く,44,5
後,после; потом; позади; сзади,ゴ・コウ,うし-ろ・あと・のち・(おく-れる),45,5
山,гора,サン,やま,46,5
話,говорить; рассказывать; разговор; беседа ,ワ,はなし・はな-す,47,5
先,впереди; кончик; острие; раньше; сначала; прежде всего,セン,さき・まず,48,5
少,мало; немного; юность,ショウ,すく-ない・すこ-し,49,4
長,длинный; начальник; старший,チョウ,なが-い,50,5
聞,слышать; спрашивать; быть слышным; звучать ,ブン・モン,きく・き-こえる,51,5
水,вода,スイ,みず,52,5
口,рот; речь; отверстие,コウ,くち,53,4
空,небо; пустота,クウ,そら・から・あ-く,54,4
名,имя; название,メイ・ミョウ,な,55,5
会,встреча; собрание,カイ,あ-う,56,4
男,мужчина,ダン・ナン,おとこ,57,5
白,белый; невинность; невиновность,ハク・ビャク,しろ-い・しろ,58,5
外,снаружи; иностранный; исключение,ガイ・ゲ,そと・ほか・はず-す,59,5
道,дорога; путь; расстояние,ドウ,みち,60,4
国,страна,コク,くに,61,5
新,новый,シン,あたら-しい・あら-た,62,4
木,дерево,モク・ボク,き,63,5
多,много,タ,おお-い,64,4
足,нога,ソク,あし・た-りる,65,4
金,золото; деньги,キン・コン,かね,66,5
